Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
189,Donte DiVincenzo,1894,2022-23,26,GSW,72,36,0,26.3,3.3,7.5,1.2,2.3,2.1,5.3,0.8,1,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,0.435,0.525,0.397,0.817,0.593,57.407,G,divindo01
190,Kyle Anderson,1957,2022-23,29,MIN,69,46,0,28.4,3.7,7.2,3,5.7,0.6,1.5,1.4,2,1,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,0.509,0.536,0.41,0.735,0.583,55.253,F-G,anderky01
191,Chris Boucher,1523,2022-23,30,TOR,76,0,0,20,3.4,7,2.6,4.5,0.8,2.5,1.7,2.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,0.493,0.585,0.328,0.762,0.59,55.198,F,bouchch01
192,Hamidou Diallo,996,2022-23,24,DET,56,0,0,17.8,3.8,6.7,3.8,6.3,0.1,0.4,1.6,2.6,1,2.4,3.5,1,0.9,0.3,1.3,2.2,9.3,0.573,0.593,0.238,0.588,0.593,58,G,diallha01
193,Tari Eason,1767,2022-23,21,HOU,82,5,0,21.5,3.6,8,2.9,6,0.7,2.1,1.3,1.8,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,9.3,0.448,0.486,0.343,0.752,0.525,49.318,F,easonta01
194,Luke Kennard,1315,2022-23,26,LACMEM,59,14,0,22.3,3.2,6.5,0.9,1.9,2.3,4.6,0.6,0.7,0.3,2.4,2.7,1.5,0.5,0.1,0.8,1.4,9.3,0.492,0.487,0.494,0.949,0.684,66.623,G,kennalu01
195,Precious Achiuwa,1140,2022-23,23,TOR,55,12,0,20.7,3.6,7.3,3,5.4,0.5,2,1.6,2.3,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,0.485,0.564,0.269,0.702,0.554,52.104,F,achiupr01
196,Seth Curry,1211,2022-23,32,BRK,61,7,0,19.9,3.4,7.4,1.9,3.6,1.5,3.8,0.8,0.9,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,0.463,0.525,0.405,0.927,0.593,56.793,G,curryse01
197,Walker Kessler,1703,2022-23,21,UTA,74,40,0,23,4,5.6,4,5.6,0,0,1.1,2.1,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,0.72,0.723,0.333,0.516,0.702,72.101,C,kesslwa01
198,Deni Avdija,2020,2022-23,22,WAS,76,40,0,26.6,3.3,7.6,2.4,4.6,0.9,3.1,1.6,2.2,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,0.437,0.53,0.297,0.739,0.535,49.655,G-F,avdijde01
